href,summary,tag,title
/news/world-asia-51692546,"The US president says 5,000 troops will leave Afghanistan by May and he will meet Taliban leaders.",Asia,Trump says Taliban deal to 'bring our people home'
/news/world-africa-51689390,,Africa,Congo probes death of army military spy chief
/news/world-africa-51689308,,Africa,Guinea's leader postpones controversial referendum
/sport/football/51595064,,Football,Watford end Liverpool's invincible hopes
https://www.bbc.co.uk/news/live/world-africa-47639452?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5e5902bb4fb54c066b975bf0%26%27I%20used%20to%20guard%20the%20ministry%2C%20now%20I%27m%20the%20minister%27%262020-02-28T13%3A46%3A02.298Z&ns_fee=0&pinned_post_locator=urn:asset:9a316a5c-1348-4f6d-9414-9c6bb75425e2&pinned_post_asset_id=5e5902bb4fb54c066b975bf0&pinned_post_type=share,,Africa,"'I used to guard the ministry, now I'm the minister'"
/news/world-us-canada-51692577,"President Donald Trump says more cases are ""likely"" but urges people not to panic.",US & Canada,US confirms first coronavirus death
/news/world-europe-51687160,"President Erdogan ""opened the doors"" for them to exit, saying his country can no longer host them.",Europe,'Thousands' of migrants leave Turkey for EU
/news/world-51662371,People around the world tell us what it's like being born on 29 February.,World,'Leaplings' celebrate their real birthdays
/sport/football/51692518,Liverpool's Premier League unbeaten run comes to an end after 44 games. But where does it rank with the greatest ever?,Football,Where did Liverpool's run rank with greats?
/sport/football/51690403,Bayern Munich and Hoffenheim pass the ball between each other for 13 minutes after a long delay for an offensive banner in the crowd.,European Football,Bayern and Hoffenheim pass ball to each other
/sport/football/51688619,"Liverpool suffer their first defeat of the season, West Ham move out of the relegation zone and Chelsea are held by Bournemouth.",Premier League,What happened in the Premier League?
https://www.bbc.com/future/article/20200227-how-hydrogen-powered-trains-can-tackle-climate-change,The first hydrogen trains are starting to hit the tracks,Future Planet,Could this train revolutionise rail travel?
https://www.bbc.com/future/article/20200221-how-fog-can-solve-water-shortage-from-climate-change-in-peru,Communities are finding ways to live by creating valuable drinking water from mist,Future Planet,The life-changing power of fog
http://www.bbc.com/future/article/20200219-the-solar-farms-fighting-climate-change-in-alaska,Solar energy has become so accessible that new farms are being switched on in the most unexpected places,Future Planet,The world's most unlikely solar farms
,,,
,,,
,,,
https://www.bbc.co.uk/news/world-africa-51667168,,Africa,The gospel singer who died in a police cell
https://www.bbc.co.uk/news/live/world-africa-47639452?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5e5a6d8cc429ed066b590dfe%26Poll%20row%20sees%20Guinea-Bissau%20with%20two%20presidents%262020-02-29T14%3A34%3A07.283Z&ns_fee=0&pinned_post_locator=urn:asset:dccb91b4-a23d-4072-8b0d-5431d35e8dcb&pinned_post_asset_id=5e5a6d8cc429ed066b590dfe&pinned_post_type=share,The former ruling party appoints an interim leader after the opposition leader swore himself in.,Africa,Poll row sees Guinea-Bissau with two presidents
https://www.bbc.co.uk/news/live/world-africa-47639452?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5e5aa51bc429ed066b590ee8%26%27Mozambican%20poachers%27%20killed%20in%20Kruger%20Park%262020-02-29T18%3A20%3A49.965Z&ns_fee=0&pinned_post_locator=urn:asset:8b17d2d1-78be-4b5f-8ead-204473bd6e20&pinned_post_asset_id=5e5aa51bc429ed066b590ee8&pinned_post_type=share,In total six men have been shot dead since January in South Africa's game reserve famous for its rhinos.,Africa,'Mozambican poachers' killed in Kruger Park
https://www.bbc.co.uk/news/world-africa-51637751,,Africa,'They removed my uterus and I had no idea for 11 years'
https://www.bbc.com/worklife/article/20200225-the-secrets-of-the-most-persuasive-adverts,Tips from those who are paid to persuade,Worklife,The five tricks of powerful persuasion
https://www.bbc.com/future/article/20200226-how-to-survive-in-the-extreme-cold,Freezing weather presents some unique challenges to the human body,Future,How to survive in the extreme cold
https://www.bbc.com/travel/story/20200226-the-berry-that-keeps-asia-looking-young,Its medicinal powers have long been recognised by traditional practitioners,Travel,Asia's 'anti-ageing red diamond'
https://www.bbc.com/culture/story/20200227-ten-films-to-watch-this-march,Including Mulan and the sequel to A Quiet Place,Culture,10 films to watch this March
https://www.bbc.co.uk/ideas/videos/what-if-everyone-in-the-world-planted-a-tree/p084ttpq,Would it make a difference in the fight against climate change?,Ideas,What if everyone in the world planted a tree?
https://www.topgear.com/car-news/opinion/what-can-horses-teach-us-about-electric-cars,There's a lesson to learn from the Great Horse Manure Crisis of 1894,Top Gear,What horses can teach us about electric cars
https://www.bbc.co.uk/programmes/articles/tnMKjGs1cPKj9GKkHx3xQ1/st-davids-big-life-hack,"What can we learn from the life of a man who told followers to ""sweat the small stuff""?",Radio 4,St David's big life hack
/news/business-51152791,,Business,Protecting whales from the noise people make in the ocean
https://www.bbc.com/future/article/20200224-how-cutting-your-food-waste-can-help-the-climate,,Future,Why the food we waste is a climate problem
/news/world-australia-51688609,"Dr Olivia Clarke saved the life of Monty, an 18-year-old jungle carpet python who had managed to swallow a whole beach towel.",Australia,'I've never seen a snake eating a towel'
/news/world-australia-51688609,,Australia,'I've never seen a snake eating a towel'
/news/world-europe-51681712,,Europe,Major fire forces Paris station evacuation
/news/world-asia-51660902,,Asia,Searching for loved ones under the ashes
/news/world-asia-51683011,,Asia,"Asia Bibi: 'I kept thinking, what is..."
/news/world-europe-51680380,,Europe,Why I love living in an old railway station
/news/uk-40358825,,UK,Boris Johnson struggles in interview
/news/world-us-canada-40362067,,US & Canada,Ready for the total solar eclipse?
/news/world-australia-40365981,,Australia,Koalas 'face extinction' in parts of...
/news/world-middle-east-40366136,,Middle East,Video 'shows Mosul mosque's destruction'
/news/world-asia-40360168,,Asia,Indonesia's female 'devil wheel' riders
/news/10462520,,Video,One-minute World News
/news/world-australia-51675920,,Australia,Ardern and Morrison clash over deportations
/news/health-51637561,,Health,Watch how germs spread and how you can...
/news/business-51675200,Alex is back from a trip to Tenerife and is trying to help cut the risk of spreading coronavirus.,Business,Coronavirus: 'Self-isolating will cost me £600'
/news/technology-51675183,,Technology,Amazon culls one million fake coronavirus products
/news/live/world-51669434,,World,WHO issues 'highest alert' over coronavirus
/news/world-europe-51684494,,Europe,Actresses walk out after Polanski Césars win
/news/science-environment-51681760,,Science & Environment,Flash frenzy reveals scale of Anak Krakatau plume
/news/technology-51673293,,Technology,Coronavirus: Plague game banned in China
/news/uk-51683428,,UK,Coronavirus patient first to be infected in UK
https://www.bbc.com/culture/story/20200224-the-culture-that-defines-los-angeles,,Culture,The culture that defines Los Angeles
https://www.bbc.com/news/business-51629600,,Business,"'After the coral ban, I lost everything'"
/news/in-pictures-51617138,,In Pictures,Contemplating the Fens through art
/news/world-africa-51657153,,Africa,"Africa's top shots: Slingshots, sandstorms and seeds"
/news/in-pictures-51615267,,In Pictures,Landscapes of chemical and biological warfare
/news/in-pictures-51657771,,In Pictures,In Pictures: Flood-hit areas in the Midlands
/news/in-pictures-51633570,,In Pictures,Underwater Photographer of the Year
